Query_ID,Document_ID,Document_Name,Relevance_Score
Q1,0,sport_001.txt,0
Q1,1,sport_002.txt,0
Q1,2,sport_003.txt,1
Q1,3,sport_004.txt,0
Q1,4,sport_005.txt,0
Q1,5,sport_006.txt,0
Q1,6,sport_007.txt,0
Q1,7,sport_008.txt,0
Q1,8,sport_009.txt,1
Q1,9,sport_010.txt,1
Q1,10,sport_011.txt,0
Q1,11,sport_012.txt,0
Q1,12,sport_013.txt,0
Q1,13,sport_014.txt,0
Q1,14,sport_015.txt,1
Q1,15,sport_016.txt,1
Q1,16,sport_017.txt,1
Q1,17,sport_018.txt,0
Q1,18,sport_019.txt,0
Q1,19,sport_020.txt,0
Q1,20,sport_021.txt,0
Q1,21,sport_022.txt,1
Q1,22,sport_023.txt,1
Q1,23,sport_024.txt,0
Q1,24,sport_025.txt,1
Q1,25,sport_026.txt,0
Q1,26,sport_027.txt,1
Q1,27,sport_028.txt,1
Q1,28,sport_029.txt,1
Q1,29,sport_030.txt,1
Q1,30,sport_031.txt,0
Q1,31,sport_032.txt,0
Q1,32,sport_033.txt,1
Q1,33,sport_034.txt,3
Q1,34,sport_035.txt,1
Q1,35,sport_036.txt,0
Q1,36,sport_037.txt,0
Q1,37,sport_038.txt,1
Q1,38,sport_039.txt,1
Q1,39,sport_040.txt,2
Q1,40,tech_001.txt,0
Q1,41,tech_002.txt,0
Q1,42,tech_003.txt,0
Q1,43,tech_004.txt,0
Q1,44,tech_005.txt,0
Q1,45,tech_006.txt,0
Q1,46,tech_007.txt,0
Q1,47,tech_008.txt,0
Q1,48,tech_009.txt,0
Q1,49,tech_010.txt,0
Q1,50,tech_011.txt,0
Q1,51,tech_012.txt,0
Q1,52,tech_013.txt,0
Q1,53,tech_014.txt,0
Q1,54,tech_015.txt,0
Q1,55,tech_016.txt,0
Q1,56,tech_017.txt,0
Q1,57,tech_018.txt,0
Q1,58,tech_019.txt,0
Q1,59,tech_020.txt,0
Q1,60,tech_021.txt,0
Q1,61,tech_022.txt,0
Q1,62,tech_023.txt,0
Q1,63,tech_024.txt,0
Q1,64,tech_025.txt,0
Q1,65,tech_026.txt,0
Q1,66,tech_027.txt,0
Q1,67,tech_028.txt,0
Q1,68,tech_029.txt,0
Q1,69,tech_030.txt,0
Q1,70,tech_031.txt,0
Q1,71,tech_032.txt,0
Q1,72,tech_033.txt,0
Q1,73,tech_034.txt,0
Q1,74,tech_035.txt,0
Q1,75,tech_036.txt,0
Q1,76,tech_037.txt,0
Q1,77,tech_038.txt,0
Q1,78,tech_039.txt,0
Q1,79,tech_040.txt,0
Q2,0,sport_001.txt,0
Q2,1,sport_002.txt,0
Q2,2,sport_003.txt,0
Q2,3,sport_004.txt,1
Q2,4,sport_005.txt,0
Q2,5,sport_006.txt,0
Q2,6,sport_007.txt,0
Q2,7,sport_008.txt,0
Q2,8,sport_009.txt,0
Q2,9,sport_010.txt,0
Q2,10,sport_011.txt,0
Q2,11,sport_012.txt,0
Q2,12,sport_013.txt,0
Q2,13,sport_014.txt,1
Q2,14,sport_015.txt,0
Q2,15,sport_016.txt,0
Q2,16,sport_017.txt,0
Q2,17,sport_018.txt,0
Q2,18,sport_019.txt,0
Q2,19,sport_020.txt,0
Q2,20,sport_021.txt,0
Q2,21,sport_022.txt,0
Q2,22,sport_023.txt,0
Q2,23,sport_024.txt,0
Q2,24,sport_025.txt,0
Q2,25,sport_026.txt,0
Q2,26,sport_027.txt,0
Q2,27,sport_028.txt,0
Q2,28,sport_029.txt,0
Q2,29,sport_030.txt,0
Q2,30,sport_031.txt,0
Q2,31,sport_032.txt,0
Q2,32,sport_033.txt,0
Q2,33,sport_034.txt,0
Q2,34,sport_035.txt,0
Q2,35,sport_036.txt,0
Q2,36,sport_037.txt,0
Q2,37,sport_038.txt,0
Q2,38,sport_039.txt,0
Q2,39,sport_040.txt,3
Q2,40,tech_001.txt,0
Q2,41,tech_002.txt,0
Q2,42,tech_003.txt,0
Q2,43,tech_004.txt,0
Q2,44,tech_005.txt,0
Q2,45,tech_006.txt,0
Q2,46,tech_007.txt,0
Q2,47,tech_008.txt,0
Q2,48,tech_009.txt,0
Q2,49,tech_010.txt,0
Q2,50,tech_011.txt,0
Q2,51,tech_012.txt,0
Q2,52,tech_013.txt,0
Q2,53,tech_014.txt,0
Q2,54,tech_015.txt,0
Q2,55,tech_016.txt,0
Q2,56,tech_017.txt,0
Q2,57,tech_018.txt,0
Q2,58,tech_019.txt,0
Q2,59,tech_020.txt,0
Q2,60,tech_021.txt,0
Q2,61,tech_022.txt,0
Q2,62,tech_023.txt,0
Q2,63,tech_024.txt,0
Q2,64,tech_025.txt,0
Q2,65,tech_026.txt,0
Q2,66,tech_027.txt,0
Q2,67,tech_028.txt,0
Q2,68,tech_029.txt,0
Q2,69,tech_030.txt,0
Q2,70,tech_031.txt,0
Q2,71,tech_032.txt,0
Q2,72,tech_033.txt,0
Q2,73,tech_034.txt,0
Q2,74,tech_035.txt,0
Q2,75,tech_036.txt,0
Q2,76,tech_037.txt,0
Q2,77,tech_038.txt,0
Q2,78,tech_039.txt,0
Q2,79,tech_040.txt,0
Q3,0,sport_001.txt,0
Q3,1,sport_002.txt,0
Q3,2,sport_003.txt,0
Q3,3,sport_004.txt,1
Q3,4,sport_005.txt,0
Q3,5,sport_006.txt,0
Q3,6,sport_007.txt,0
Q3,7,sport_008.txt,0
Q3,8,sport_009.txt,0
Q3,9,sport_010.txt,0
Q3,10,sport_011.txt,1
Q3,11,sport_012.txt,0
Q3,12,sport_013.txt,1
Q3,13,sport_014.txt,1
Q3,14,sport_015.txt,0
Q3,15,sport_016.txt,1
Q3,16,sport_017.txt,1
Q3,17,sport_018.txt,0
Q3,18,sport_019.txt,1
Q3,19,sport_020.txt,0
Q3,20,sport_021.txt,1
Q3,21,sport_022.txt,1
Q3,22,sport_023.txt,1
Q3,23,sport_024.txt,0
Q3,24,sport_025.txt,0
Q3,25,sport_026.txt,0
Q3,26,sport_027.txt,0
Q3,27,sport_028.txt,0
Q3,28,sport_029.txt,0
Q3,29,sport_030.txt,1
Q3,30,sport_031.txt,0
Q3,31,sport_032.txt,0
Q3,32,sport_033.txt,3
Q3,33,sport_034.txt,0
Q3,34,sport_035.txt,1
Q3,35,sport_036.txt,1
Q3,36,sport_037.txt,0
Q3,37,sport_038.txt,0
Q3,38,sport_039.txt,0
Q3,39,sport_040.txt,1
Q3,40,tech_001.txt,0
Q3,41,tech_002.txt,0
Q3,42,tech_003.txt,0
Q3,43,tech_004.txt,0
Q3,44,tech_005.txt,0
Q3,45,tech_006.txt,0
Q3,46,tech_007.txt,0
